voornaam,familienaam,geslacht,Geboortedatm,klasgroep,groep
Farrell,Artindale,Male,6/30/2001,1MCT5,0
Yoshi,Sudworth,Female,6/18/2001,1MCT5,0
Georgie,Crankshaw,Female,9/20/2001,1MCT5,0
Kelli,Lerohan,Female,5/11/1999,1MCT5,1
Barnaby,Capel,Male,3/21/2000,1MCT5,1
Olly,Cudbird,Female,11/20/2001,1MCT5,1
Kacy,Clapperton,Female,4/10/2001,1MCT5,2
Ali,Davidsen,Female,11/7/2001,1MCT5,2
Prudence,Dagworthy,Female,7/15/2001,1MCT5,2
Hakim,Bexon,Male,8/18/2001,1MCT5,3
Morie,Mityakov,Male,2/3/1999,1MCT5,3
Katlin,Merrgan,Female,11/16/2000,1MCT5,3
Wandie,Wickling,Female,1/25/1999,1MCT5,4
Syd,Crandon,Male,10/8/1999,1MCT5,4
Grady,Pickston,Male,12/19/2001,1MCT5,4
Ileana,Goldberg,Female,9/20/1999,1MCT5,5
Lianna,Schuster,Female,6/20/1999,1MCT5,5
Zelma,MacAnellye,Female,5/8/2001,1MCT5,5
Denni,Shufflebotham,Female,10/4/1999,1MCT5,6
Silvan,But,Male,11/24/2000,1MCT5,6
Raymond,Gravells,Male,3/4/1999,1MCT5,6
